epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9724,3.04873,4.82594,1.40784,0,0,0,0,2.76905,4.9425,1.30101,0.000176067,0.000176067,0.000176067
2,24.3537,2.74425,4.16697,1.18728,0.04465,0.09989,0.00725,0.00276,2.57351,4.71901,1.22525,0.000360207,0.000360207,0.000360207
3,26.8518,2.71763,3.46241,1.17515,0.01586,0.27036,0.03767,0.01145,2.61288,4.32784,1.24364,0.000543125,0.000543125,0.000543125
4,29.3615,2.73035,2.91573,1.15181,0.04076,0.46841,0.11143,0.02608,2.62532,3.67056,1.23802,0.000550496,0.000550496,0.000550496
5,31.8977,2.65421,2.64917,1.13917,0.03925,0.58537,0.15724,0.06868,2.60702,3.14975,1.29464,0.000548661,0.000548661,0.000548661
6,34.4636,2.63728,2.44809,1.12479,0.3189,0.19342,0.18101,0.0602,2.49784,2.70229,1.2393,0.000546826,0.000546826,0.000546826
7,37.1477,2.58738,2.27783,1.13093,0.38021,0.25525,0.20453,0.08179,2.47333,2.37594,1.23305,0.000544991,0.000544991,0.000544991
8,39.7655,2.6033,2.17456,1.1052,0.42775,0.31336,0.24343,0.09581,2.46702,2.28728,1.23172,0.000543156,0.000543156,0.000543156
9,42.3685,2.52073,2.12538,1.12567,0.48881,0.28641,0.23758,0.094,2.4159,2.15057,1.20791,0.000541322,0.000541322,0.000541322
10,44.8832,2.52167,2.06504,1.09035,0.47851,0.27936,0.24869,0.09878,2.40562,2.14651,1.20192,0.000539487,0.000539487,0.000539487
11,47.4814,2.48364,2.03148,1.10007,0.43141,0.23822,0.20586,0.08128,2.49474,2.25977,1.21181,0.000537652,0.000537652,0.000537652
12,50.0749,2.44932,2.06126,1.10613,0.46904,0.304,0.23972,0.08808,2.42538,2.10639,1.2221,0.000535817,0.000535817,0.000535817
13,52.5798,2.41554,1.99286,1.09051,0.42364,0.30937,0.25063,0.09408,2.3871,2.10017,1.21591,0.000533982,0.000533982,0.000533982
14,55.1277,2.45644,1.98386,1.08687,0.28954,0.35472,0.25373,0.09944,2.39441,2.07064,1.21459,0.000532148,0.000532148,0.000532148
15,57.9033,2.42996,1.90903,1.06759,0.32574,0.35827,0.24622,0.10213,2.40067,2.1106,1.22386,0.000530313,0.000530313,0.000530313
16,60.6327,2.38066,1.9214,1.09521,0.26976,0.33251,0.2652,0.10231,2.42951,2.04397,1.23729,0.000528478,0.000528478,0.000528478
17,63.1828,2.39185,1.89793,1.07414,0.50879,0.30465,0.31042,0.11737,2.37534,2.00572,1.22642,0.000526643,0.000526643,0.000526643
18,65.6624,2.40182,2.0641,1.10461,0.56768,0.30292,0.28937,0.11094,2.35208,2.00927,1.2012,0.000524808,0.000524808,0.000524808
19,68.1926,2.39325,1.87568,1.07735,0.33148,0.4204,0.34336,0.15065,2.37552,2.01886,1.2219,0.000522974,0.000522974,0.000522974
20,70.8748,2.38656,1.83754,1.05776,0.46399,0.35897,0.33102,0.12859,2.36285,1.97058,1.19804,0.000521139,0.000521139,0.000521139
21,73.3965,2.36859,1.81334,1.06533,0.32499,0.38529,0.34171,0.14726,2.37201,1.99475,1.209,0.000519304,0.000519304,0.000519304
22,75.8568,2.34952,1.75836,1.04662,0.53913,0.26052,0.24568,0.0996,2.38081,1.97035,1.18867,0.000517469,0.000517469,0.000517469
23,78.3672,2.31765,1.81472,1.04721,0.37091,0.39194,0.36245,0.15696,2.31902,1.89338,1.19061,0.000515634,0.000515634,0.000515634
24,80.9032,2.34112,1.75679,1.05875,0.31183,0.48245,0.34181,0.14611,2.30609,1.94045,1.18936,0.0005138,0.0005138,0.0005138
25,83.4204,2.32037,1.77454,1.06158,0.45027,0.28432,0.29612,0.11426,2.3419,1.9647,1.17475,0.000511965,0.000511965,0.000511965
26,85.9211,2.29731,1.71214,1.06938,0.53492,0.31827,0.28518,0.1186,2.36069,1.93772,1.19318,0.00051013,0.00051013,0.00051013
27,88.4688,2.34922,1.72734,1.06029,0.47003,0.36911,0.33939,0.13047,2.34178,1.86707,1.21938,0.000508295,0.000508295,0.000508295
28,91.0326,2.2985,1.72516,1.08079,0.381,0.40002,0.37676,0.15809,2.39169,1.95489,1.21908,0.00050646,0.00050646,0.00050646
29,93.5242,2.30103,1.69647,1.0438,0.54429,0.37049,0.36264,0.15904,2.40421,1.95922,1.21598,0.000504626,0.000504626,0.000504626
30,96.0103,2.31048,1.71245,1.06404,0.45288,0.46183,0.38933,0.16185,2.33099,1.84159,1.20443,0.000502791,0.000502791,0.000502791
31,98.5242,2.22741,1.6437,1.05316,0.36606,0.38803,0.34853,0.13968,2.37509,1.91784,1.20967,0.000500956,0.000500956,0.000500956
32,100.944,2.27379,1.64122,1.04341,0.3556,0.42634,0.36899,0.16501,2.34778,1.8773,1.19608,0.000499121,0.000499121,0.000499121
33,103.413,2.30028,1.69457,1.05215,0.38321,0.37983,0.35739,0.14255,2.31547,1.842,1.2016,0.000497286,0.000497286,0.000497286
34,105.877,2.29368,1.64614,1.0432,0.49341,0.34261,0.32682,0.13007,2.30105,1.91056,1.17298,0.000495452,0.000495452,0.000495452
35,108.227,2.29442,1.63332,1.04881,0.52742,0.36131,0.35513,0.1453,2.31568,1.82253,1.19297,0.000493617,0.000493617,0.000493617
36,110.741,2.25834,1.65893,1.04897,0.46037,0.42117,0.40411,0.18135,2.28342,1.84224,1.17131,0.000491782,0.000491782,0.000491782
37,113.238,2.28754,1.62488,1.02929,0.40939,0.40092,0.39488,0.15161,2.34642,1.83784,1.1862,0.000489947,0.000489947,0.000489947
38,115.861,2.25432,1.59165,1.03773,0.46315,0.38242,0.37946,0.16802,2.31866,1.79886,1.18843,0.000488112,0.000488112,0.000488112
39,118.47,2.22887,1.61006,1.02453,0.36009,0.40882,0.39563,0.17121,2.31827,1.82582,1.17356,0.000486278,0.000486278,0.000486278
40,121.011,2.26879,1.62265,1.03424,0.5349,0.37446,0.40919,0.18309,2.36346,1.82023,1.20491,0.000484443,0.000484443,0.000484443
41,123.843,2.24031,1.60121,1.05,0.37838,0.43478,0.41686,0.18353,2.30141,1.81626,1.1983,0.000482608,0.000482608,0.000482608
42,126.421,2.25268,1.56712,1.02158,0.43025,0.40851,0.41278,0.17842,2.32793,1.77698,1.21364,0.000480773,0.000480773,0.000480773
43,128.955,2.21642,1.52026,1.02491,0.47936,0.42291,0.41497,0.18993,2.32294,1.79383,1.20138,0.000478938,0.000478938,0.000478938
44,131.52,2.21409,1.56332,1.04174,0.3822,0.43868,0.36461,0.16516,2.34725,1.78995,1.18697,0.000477104,0.000477104,0.000477104
45,134.084,2.23764,1.5411,1.01731,0.41821,0.37223,0.33345,0.1408,2.35543,1.82074,1.23195,0.000475269,0.000475269,0.000475269
46,136.69,2.15192,1.49326,1.03329,0.50218,0.32569,0.31915,0.12374,2.35833,1.80944,1.21917,0.000473434,0.000473434,0.000473434
47,139.212,2.18365,1.49646,1.03226,0.496,0.34897,0.34083,0.14113,2.33518,1.85572,1.19213,0.000471599,0.000471599,0.000471599
48,141.747,2.22579,1.51498,1.03146,0.40395,0.42223,0.37172,0.15308,2.3276,1.89029,1.18141,0.000469764,0.000469764,0.000469764
49,144.277,2.19938,1.49347,1.02611,0.39095,0.40443,0.38897,0.15972,2.32346,1.79559,1.19334,0.00046793,0.00046793,0.00046793
50,146.805,2.19496,1.47746,1.02454,0.37997,0.43978,0.40555,0.15288,2.35026,1.76903,1.19561,0.000466095,0.000466095,0.000466095
51,149.311,2.14677,1.47826,1.01812,0.49436,0.44076,0.42012,0.17084,2.31262,1.80193,1.17693,0.00046426,0.00046426,0.00046426
52,151.804,2.19263,1.43755,1.00564,0.45817,0.41834,0.39071,0.15181,2.34942,1.83076,1.206,0.000462425,0.000462425,0.000462425
53,154.313,2.16246,1.45004,1.00997,0.44352,0.45678,0.40853,0.1725,2.3155,1.87928,1.19304,0.00046059,0.00046059,0.00046059
54,157.074,2.13749,1.43537,1.01565,0.39456,0.44819,0.37427,0.17067,2.32772,1.8054,1.18075,0.000458756,0.000458756,0.000458756
55,159.545,2.18688,1.45792,1.01228,0.4674,0.46814,0.40978,0.20059,2.34747,1.80613,1.18271,0.000456921,0.000456921,0.000456921
